PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Grau - total,Sector privat,Maramures,1991,Kilograme,1757.0
Grau - total,Sector privat,Valcea,1991,Kilograme,2676.0
Grau - total,Sector privat,Ialomita,1991,Kilograme,2818.0
Grau - total,din care: Exploatatii agricole individuale,Dolj,1991,Kilograme,2736.0
Grau - total,Sector privat,Constanta,1991,Kilograme,2483.0
Grau - total,din care: Exploatatii agricole individuale,Arad,1991,Kilograme,1801.0
Grau - total,Sector privat,Bacau,1991,Kilograme,1646.0
Grau - total,din care: Exploatatii agricole individuale,Bacau,1991,Kilograme,1645.0
Grau - total,din care: Exploatatii agricole individuale,Satu Mare,1991,Kilograme,2770.0
Grau - total,Sector privat,Satu Mare,1991,Kilograme,3066.0
Grau - total,Sector privat,Arad,1991,Kilograme,2567.0
Grau - total,Sector privat,Prahova,1991,Kilograme,2540.0
Grau - total,Sector privat,Galati,1991,Kilograme,2284.0
Grau - total,Sector privat,Botosani,1991,Kilograme,2236.0
Grau - total,din care: Exploatatii agricole individuale,Caras-Severin,1991,Kilograme,1673.0
Grau - total,Sector privat,Salaj,1991,Kilograme,1720.0
Grau - total,din care: Exploatatii agricole individuale,Buzau,1991,Kilograme,2881.0
Grau - total,din care: Exploatatii agricole individuale,Giurgiu,1991,Kilograme,1548.0
Grau - total,din care: Exploatatii agricole individuale,Prahova,1991,Kilograme,2592.0
Grau - total,din care: Exploatatii agricole individuale,Botosani,1991,Kilograme,2445.0
Grau - total,din care: Exploatatii agricole individuale,Braila,1991,Kilograme,3680.0
Grau - total,din care: Exploatatii agricole individuale,Salaj,1991,Kilograme,1724.0
Grau - total,din care: Exploatatii agricole individuale,Constanta,1991,Kilograme,2216.0
Grau - total,Sector privat,Caras-Severin,1991,Kilograme,1677.0
Grau - total,din care: Exploatatii agricole individuale,Gorj,1991,Kilograme,1373.0
Grau - total,Sector privat,Teleorman,1991,Kilograme,3151.0
Grau - total,Sector privat,Tulcea,1991,Kilograme,2436.0
Grau - total,din care: Exploatatii agricole individuale,Hunedoara,1991,Kilograme,1811.0
