PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Orz si orzoaica,Sector privat,Iasi,1992,Kilograme,2252.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Timis,1992,Kilograme,1523.0
Orz si orzoaica,Sector privat,Alba,1992,Kilograme,2315.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Giurgiu,1992,Kilograme,1780.0
Orz si orzoaica,Sector privat,Mun. Bucuresti -incl. SAI,1992,Kilograme,2804.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Neamt,1992,Kilograme,2022.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Brasov,1992,Kilograme,2310.0
Orz si orzoaica,Sector privat,Timis,1992,Kilograme,1695.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1992,Kilograme,1859.0
Orz si orzoaica,Sector privat,Timis,1993,Kilograme,2463.0
Orz si orzoaica,Sector privat,Botosani,1993,Kilograme,1989.0
Orz si orzoaica,Sector privat,Neamt,1993,Kilograme,2873.0
Orz si orzoaica,Sector privat,Brasov,1993,Kilograme,2435.0
Orz si orzoaica,Sector privat,Arges,1993,Kilograme,1792.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Dambovita,1993,Kilograme,1467.0
Orz si orzoaica,Sector privat,Suceava,1993,Kilograme,1825.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mures,1993,Kilograme,2058.0
Orz si orzoaica,Sector privat,Covasna,1993,Kilograme,2047.0
Orz si orzoaica,Sector privat,Tulcea,1993,Kilograme,2191.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Bihor,1993,Kilograme,1671.0
Orz si orzoaica,Sector privat,Gorj,1993,Kilograme,2777.0
Orz si orzoaica,Sector privat,Bihor,1993,Kilograme,1932.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Ialomita,1993,Kilograme,1820.0
Orz si orzoaica,Sector privat,Calarasi,1993,Kilograme,2389.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Vaslui,1993,Kilograme,1746.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1993,Kilograme,1613.0
Orz si orzoaica,Sector privat,Vaslui,1993,Kilograme,1797.0
Orz si orzoaica,Sector privat,Harghita,1993,Kilograme,1545.0
Orz si orzoaica,din care: Exploatatii agricole individuale,Harghita,1993,Kilograme,1496.0
