PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Porumb boabe,din care: Exploatatii agricole individuale,Tulcea,1991,Kilograme,4351.0
Porumb boabe,din care: Exploatatii agricole individuale,Bacau,1991,Kilograme,3570.0
Porumb boabe,din care: Exploatatii agricole individuale,Buzau,1991,Kilograme,2879.0
Porumb boabe,din care: Exploatatii agricole individuale,Satu Mare,1991,Kilograme,2645.0
Porumb boabe,Sector privat,Arad,1991,Kilograme,4144.0
Porumb boabe,Sector privat,Prahova,1991,Kilograme,5373.0
Porumb boabe,Sector privat,Galati,1991,Kilograme,5226.0
Porumb boabe,Sector privat,Botosani,1991,Kilograme,3162.0
Porumb boabe,Sector privat,Salaj,1991,Kilograme,2162.0
Porumb boabe,din care: Exploatatii agricole individuale,Dambovita,1991,Kilograme,3628.0
Porumb boabe,din care: Exploatatii agricole individuale,Caras-Severin,1991,Kilograme,2737.0
Porumb boabe,din care: Exploatatii agricole individuale,Botosani,1991,Kilograme,3176.0
Porumb boabe,din care: Exploatatii agricole individuale,Salaj,1991,Kilograme,2162.0
Porumb boabe,din care: Exploatatii agricole individuale,Vrancea,1991,Kilograme,3855.0
Porumb boabe,Sector privat,Caras-Severin,1991,Kilograme,2736.0
Porumb boabe,din care: Exploatatii agricole individuale,Calarasi,1991,Kilograme,6325.0
Porumb boabe,Sector privat,Teleorman,1991,Kilograme,4792.0
Porumb boabe,Sector privat,Tulcea,1991,Kilograme,4301.0
Porumb boabe,din care: Exploatatii agricole individuale,Prahova,1991,Kilograme,4654.0
Porumb boabe,Sector privat,Iasi,1991,Kilograme,3932.0
Porumb boabe,din care: Exploatatii agricole individuale,Hunedoara,1991,Kilograme,2756.0
Porumb boabe,Sector privat,Cluj,1991,Kilograme,2923.0
Porumb boabe,din care: Exploatatii agricole individuale,Iasi,1991,Kilograme,4085.0
Porumb boabe,din care: Exploatatii agricole individuale,Alba,1991,Kilograme,3070.0
Porumb boabe,Sector privat,Hunedoara,1991,Kilograme,2759.0
Porumb boabe,Sector privat,Mun. Bucuresti -incl. SAI,1991,Kilograme,5985.0
Porumb boabe,din care: Exploatatii agricole individuale,Giurgiu,1991,Kilograme,4239.0
Porumb boabe,Sector privat,Brasov,1991,Kilograme,2222.0
Porumb boabe,Sector privat,Vrancea,1991,Kilograme,3849.0
Porumb boabe,din care: Exploatatii agricole individuale,Timis,1991,Kilograme,3632.0
Porumb boabe,Sector privat,Neamt,1991,Kilograme,2850.0
Porumb boabe,din care: Exploatatii agricole individuale,Neamt,1991,Kilograme,2815.0
Porumb boabe,din care: Exploatatii agricole individuale,Brasov,1991,Kilograme,2245.0
Porumb boabe,Sector privat,Timis,1991,Kilograme,4460.0
Porumb boabe,Sector privat,Dolj,1991,Kilograme,5095.0
Porumb boabe,din care: Exploatatii agricole individuale,Gorj,1991,Kilograme,3266.0
Porumb boabe,Sector privat,Arges,1991,Kilograme,3554.0
Porumb boabe,Sector privat,Suceava,1991,Kilograme,2356.0
Porumb boabe,Sector privat,Covasna,1991,Kilograme,2430.0
Porumb boabe,din care: Exploatatii agricole individuale,Suceava,1991,Kilograme,2357.0
Porumb boabe,din care: Exploatatii agricole individuale,Bihor,1991,Kilograme,3856.0
Porumb boabe,Sector privat,Covasna,1992,Kilograme,2005.0
Porumb boabe,din care: Exploatatii agricole individuale,Suceava,1992,Kilograme,2024.0
Porumb boabe,din care: Exploatatii agricole individuale,Covasna,1992,Kilograme,2005.0
Porumb boabe,din care: Exploatatii agricole individuale,Bihor,1992,Kilograme,1566.0
Porumb boabe,din care: Exploatatii agricole individuale,Dambovita,1992,Kilograme,2460.0
Porumb boabe,Sector privat,Gorj,1992,Kilograme,2478.0
Porumb boabe,Sector privat,Calarasi,1992,Kilograme,3174.0
Porumb boabe,Sector privat,Vaslui,1992,Kilograme,1634.0
Porumb boabe,Sector privat,Harghita,1992,Kilograme,1861.0
Porumb boabe,din care: Exploatatii agricole individuale,Vaslui,1992,Kilograme,1618.0
Porumb boabe,Sector privat,Bistrita-Nasaud,1992,Kilograme,1688.0
Porumb boabe,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1992,Kilograme,1794.0
Porumb boabe,din care: Exploatatii agricole individuale,Harghita,1992,Kilograme,1868.0
Porumb boabe,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1992,Kilograme,1679.0
Porumb boabe,Sector privat,Mehedinti,1992,Kilograme,1246.0
Porumb boabe,din care: Exploatatii agricole individuale,Ialomita,1992,Kilograme,3333.0
Porumb boabe,din care: Exploatatii agricole individuale,Galati,1992,Kilograme,2138.0
Porumb boabe,Sector privat,Dambovita,1992,Kilograme,2442.0
Porumb boabe,Sector privat,Braila,1992,Kilograme,3372.0
Porumb boabe,Sector privat,Mures,1992,Kilograme,2850.0
Porumb boabe,Sector privat,Cluj,1992,Kilograme,1698.0
Porumb boabe,din care: Exploatatii agricole individuale,Iasi,1992,Kilograme,2008.0
Porumb boabe,din care: Exploatatii agricole individuale,Mures,1992,Kilograme,2862.0
Porumb boabe,din care: Exploatatii agricole individuale,Cluj,1992,Kilograme,1594.0
Porumb boabe,Sector privat,Olt,1992,Kilograme,1584.0
Porumb boabe,Sector privat,Giurgiu,1992,Kilograme,1681.0
Porumb boabe,din care: Exploatatii agricole individuale,Mehedinti,1992,Kilograme,1267.0
Porumb boabe,Sector privat,Buzau,1992,Kilograme,1974.0
Porumb boabe,Sector privat,Sibiu,1992,Kilograme,2305.0
Porumb boabe,din care: Exploatatii agricole individuale,Arges,1992,Kilograme,1867.0
Porumb boabe,din care: Exploatatii agricole individuale,Dolj,1992,Kilograme,2137.0
Porumb boabe,din care: Exploatatii agricole individuale,Valcea,1992,Kilograme,2815.0
Porumb boabe,Sector privat,Maramures,1992,Kilograme,2020.0
Porumb boabe,din care: Exploatatii agricole individuale,Sibiu,1992,Kilograme,2376.0
Porumb boabe,din care: Exploatatii agricole individuale,Maramures,1992,Kilograme,2020.0
Porumb boabe,Sector privat,Valcea,1992,Kilograme,2815.0
Porumb boabe,Sector privat,Ialomita,1992,Kilograme,3420.0
Porumb boabe,Sector privat,Constanta,1992,Kilograme,1912.0
Porumb boabe,Sector privat,Bacau,1992,Kilograme,2265.0
Porumb boabe,Sector privat,Satu Mare,1992,Kilograme,2307.0
Porumb boabe,din care: Exploatatii agricole individuale,Buzau,1992,Kilograme,1868.0
Porumb boabe,din care: Exploatatii agricole individuale,Arad,1992,Kilograme,2091.0
Porumb boabe,din care: Exploatatii agricole individuale,Bacau,1992,Kilograme,2272.0
Porumb boabe,din care: Exploatatii agricole individuale,Satu Mare,1992,Kilograme,2339.0
Porumb boabe,Sector privat,Arad,1992,Kilograme,1979.0
Porumb boabe,din care: Exploatatii agricole individuale,Teleorman,1992,Kilograme,1762.0
Porumb boabe,Sector privat,Prahova,1992,Kilograme,2571.0
Porumb boabe,Sector privat,Galati,1992,Kilograme,2146.0
Porumb boabe,Sector privat,Botosani,1992,Kilograme,1985.0
Porumb boabe,din care: Exploatatii agricole individuale,Braila,1992,Kilograme,3264.0
Porumb boabe,Sector privat,Salaj,1992,Kilograme,1654.0
Porumb boabe,din care: Exploatatii agricole individuale,Caras-Severin,1992,Kilograme,1536.0
Porumb boabe,din care: Exploatatii agricole individuale,Botosani,1992,Kilograme,1971.0
