PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Floarea soarelui,din care: Exploatatii agricole individuale,Salaj,1991,Kilograme,1347.0
Floarea soarelui,Sector privat,Caras-Severin,1991,Kilograme,838.0
Floarea soarelui,Sector privat,Iasi,1991,Kilograme,1100.0
Floarea soarelui,Sector privat,Suceava,1991,Kilograme,781.0
Floarea soarelui,din care: Exploatatii agricole individuale,Timis,1991,Kilograme,827.0
Floarea soarelui,Sector privat,Tulcea,1991,Kilograme,869.0
Floarea soarelui,Sector privat,Teleorman,1991,Kilograme,1561.0
Floarea soarelui,din care: Exploatatii agricole individuale,Suceava,1991,Kilograme,781.0
Floarea soarelui,din care: Exploatatii agricole individuale,Alba,1991,Kilograme,879.0
Floarea soarelui,din care: Exploatatii agricole individuale,Teleorman,1991,Kilograme,1537.0
Floarea soarelui,din care: Exploatatii agricole individuale,Calarasi,1991,Kilograme,1502.0
Floarea soarelui,Sector privat,Neamt,1991,Kilograme,667.0
Floarea soarelui,Sector privat,Salaj,1991,Kilograme,1341.0
Floarea soarelui,Sector privat,Vrancea,1991,Kilograme,1116.0
Floarea soarelui,Sector privat,Mun. Bucuresti -incl. SAI,1991,Kilograme,674.0
Floarea soarelui,din care: Exploatatii agricole individuale,Ialomita,1991,Kilograme,1602.0
Floarea soarelui,din care: Exploatatii agricole individuale,Mehedinti,1991,Kilograme,1388.0
Floarea soarelui,Sector privat,Timis,1991,Kilograme,1136.0
Floarea soarelui,din care: Exploatatii agricole individuale,Vaslui,1991,Kilograme,1101.0
Floarea soarelui,din care: Exploatatii agricole individuale,Dolj,1991,Kilograme,1250.0
Floarea soarelui,Sector privat,Vrancea,1992,Kilograme,1073.0
Floarea soarelui,Sector privat,Maramures,1992,Kilograme,957.0
Floarea soarelui,din care: Exploatatii agricole individuale,Alba,1992,Kilograme,821.0
Floarea soarelui,Sector privat,Timis,1992,Kilograme,1032.0
Floarea soarelui,din care: Exploatatii agricole individuale,Vaslui,1992,Kilograme,967.0
Floarea soarelui,Sector privat,Suceava,1992,Kilograme,813.0
Floarea soarelui,din care: Exploatatii agricole individuale,Ialomita,1992,Kilograme,957.0
Floarea soarelui,Sector privat,Alba,1992,Kilograme,734.0
Floarea soarelui,din care: Exploatatii agricole individuale,Brasov,1992,Kilograme,1067.0
Floarea soarelui,Sector privat,Dolj,1992,Kilograme,1034.0
Floarea soarelui,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1992,Kilograme,1222.0
Floarea soarelui,Sector privat,Arges,1992,Kilograme,1328.0
Floarea soarelui,din care: Exploatatii agricole individuale,Harghita,1992,Kilograme,1842.0
Floarea soarelui,din care: Exploatatii agricole individuale,Constanta,1992,Kilograme,1024.0
Floarea soarelui,din care: Exploatatii agricole individuale,Buzau,1992,Kilograme,1421.0
Floarea soarelui,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1992,Kilograme,1321.0
Floarea soarelui,din care: Exploatatii agricole individuale,Braila,1992,Kilograme,1314.0
Floarea soarelui,Sector privat,Vaslui,1992,Kilograme,973.0
Floarea soarelui,din care: Exploatatii agricole individuale,Bihor,1992,Kilograme,779.0
Floarea soarelui,Sector privat,Brasov,1992,Kilograme,1063.0
Floarea soarelui,din care: Exploatatii agricole individuale,Mehedinti,1992,Kilograme,827.0
Floarea soarelui,Sector privat,Gorj,1992,Kilograme,727.0
Floarea soarelui,din care: Exploatatii agricole individuale,Mures,1992,Kilograme,1153.0
Floarea soarelui,din care: Exploatatii agricole individuale,Galati,1992,Kilograme,1461.0
Floarea soarelui,Sector privat,Braila,1992,Kilograme,1389.0
Floarea soarelui,din care: Exploatatii agricole individuale,Dolj,1992,Kilograme,1052.0
Floarea soarelui,din care: Exploatatii agricole individuale,Olt,1992,Kilograme,1485.0
Floarea soarelui,din care: Exploatatii agricole individuale,Tulcea,1992,Kilograme,642.0
Floarea soarelui,Sector privat,Bacau,1992,Kilograme,879.0
Floarea soarelui,din care: Exploatatii agricole individuale,Sibiu,1992,Kilograme,1035.0
Floarea soarelui,din care: Exploatatii agricole individuale,Covasna,1992,Kilograme,1026.0
Floarea soarelui,Sector privat,Mehedinti,1992,Kilograme,738.0
Floarea soarelui,Sector privat,Dambovita,1992,Kilograme,963.0
Floarea soarelui,Sector privat,Mures,1992,Kilograme,804.0
Floarea soarelui,Sector privat,Buzau,1992,Kilograme,1513.0
Floarea soarelui,din care: Exploatatii agricole individuale,Dambovita,1992,Kilograme,1085.0
Floarea soarelui,Sector privat,Bistrita-Nasaud,1992,Kilograme,1219.0
Floarea soarelui,din care: Exploatatii agricole individuale,Bacau,1992,Kilograme,884.0
Floarea soarelui,din care: Exploatatii agricole individuale,Arges,1992,Kilograme,1287.0
Floarea soarelui,din care: Exploatatii agricole individuale,Cluj,1992,Kilograme,752.0
Floarea soarelui,Sector privat,Giurgiu,1992,Kilograme,1035.0
Floarea soarelui,din care: Exploatatii agricole individuale,Giurgiu,1992,Kilograme,780.0
Floarea soarelui,Sector privat,Olt,1992,Kilograme,1215.0
Floarea soarelui,din care: Exploatatii agricole individuale,Arad,1992,Kilograme,1211.0
Floarea soarelui,din care: Exploatatii agricole individuale,Botosani,1992,Kilograme,1136.0
Floarea soarelui,din care: Exploatatii agricole individuale,Calarasi,1992,Kilograme,1545.0
Floarea soarelui,din care: Exploatatii agricole individuale,Prahova,1992,Kilograme,1098.0
Floarea soarelui,Sector privat,Cluj,1992,Kilograme,793.0
Floarea soarelui,Sector privat,Constanta,1992,Kilograme,1071.0
Floarea soarelui,Sector privat,Bihor,1992,Kilograme,861.0
